NAME,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,LSAD,ALAND,AWATER,White_20,Black_20,AIAA_20,API_20,total_nvb,totalProjectAmount,Number_MobileHomes,POP,Income_Per_Cap,Minority_Population_PerCap,FEMAAmountperpop,geometry
Beaufort County,37,013,01026333,0500000US37013,37013,06,2154800548,338964099,29817,10303,168,2534,105874454,31032321.38,7038,44652,27504,29.1252351518409,694.9816666666667,"list(list(c(-77.174, -76.985842, -76.847264, -76.844279, -76.637513, -76.588191, -76.467761, -76.509605, -76.599085, -76.522131, -76.590497, -76.632561, -76.845505, -76.895919, -76.958887, -77.189115, -77.176178, -77.100803, -77.08586, -77.172766, -77.195772, -77.174, 35.732831, 35.658848, 35.719982, 35.705717, 35.705215, 35.620654, 35.556504, 35.518356, 35.51996, 35.353623, 35.361857, 35.235324, 35.216059, 35.253889, 35.301013, 35.418362, 35.518812, 35.551455, 35.553317, 35.6391, 35.699779, 35.732831
)))"
Bertie County,37,015,01026334,0500000US37015,37015,06,1810858588,109088136,6339,10720,63,276,18660000,10290512.86,3482,17934,22947,61.66499386639902,573.7990888814542,"list(list(c(-77.230275, -77.291519, -77.29825, -77.208468, -77.180277, -76.706584, -76.736933, -76.682535, -76.606214, -76.683751, -76.760598, -76.834825, -76.891106, -76.894022, -76.93904, -77.00525, -77.04405, -77.027544, -77.195882, -77.205817, -77.327569, -77.230275, 36.104999, 36.168342, 36.207708, 36.246578, 36.242766, 36.243796, 36.150583, 36.030947, 35.978051, 35.953101, 35.864887, 35.88291, 35.812654, 35.861937, 35.90151, 35.858433, 35.861621, 35.929683, 35.936801, 36.005323, 36.071361, 
36.104999)))"
Brunswick County,37,019,01026340,0500000US37019,37019,06,2199384967,518918112,112307,11546,895,4556,7994419,3827615,19667,136693,33312,12.434433365278398,28.001543605012692,"list(list(c(-78.640688, -78.557052, -78.545218, -78.515289, -78.422921, -78.374295, -78.254622, -78.16235, -78.137302, -78.029922, -77.956605, -77.8854550755211, -77.915536, -77.9348271350857, -77.960172, -78.006765, -78.018689, -78.136952, -78.276147, -78.383964, -78.541087, -78.615932, -78.6508712805333, -78.640688, 34.009854, 34.061849, 34.145747, 34.165865, 34.139494, 34.204893, 34.216305, 34.357007, 34.371711, 34.331768, 34.234491, 34.038240984853, 33.971723, 33.9205485057973, 33.853315, 33.858704, 
33.888289, 33.912178, 33.912364, 33.901946, 33.851112, 33.915523, 33.9450557205328, 34.009854)))"
Camden County,37,029,01026335,0500000US37029,37029,06,622448682,181112905,8312,1055,49,243,1730000,1240053,647,10355,28221,13.008208594881697,119.75403186866248,"list(list(c(-76.4914825754723, -76.3133029682603, -76.158532, -76.114069, -76.050755, -75.948777, -75.887984, -75.906295, -76.022398, -76.022607, -76.02939, -76.12458, -76.216211, -76.231329, -76.437286, -76.491336, -76.5419658657183, -76.4914825754723, 36.5507329938364, 36.550551089807, 36.425333, 36.357498, 36.359819, 36.285851, 36.163311, 36.085877, 36.086654, 36.096725, 36.158819, 36.263963, 36.298302, 36.37208, 36.467846, 36.510677, 36.5507845323601, 36.5507329938364)))"
Carteret County,37,031,01026337,0500000US37031,37031,06,1314696235,2131054352,58255,3274,312,2074,18399258,5530135,8947,67686,33722,8.362142836036995,81.70278935082587,"list(list(c(-77.161676, -77.078263, -76.954438, -76.883201, -76.693018, -76.652571, -76.71158, -76.304136, -76.065774, -76.013145, -76.137269, -76.233088, -76.31021, -76.386804, -76.450454, -76.535946, -76.553806, -76.618719, -76.726969, -76.906257, -77.1129643930768, -77.096073, -77.165986, -77.161676, 34.795075, 34.811322, 34.809066, 34.844893, 34.86918, 34.937595, 34.981768, 35.201453, 35.124937, 35.061855, 34.987858, 34.905477, 34.852309, 34.784579, 34.71445, 34.588577, 34.628252, 34.67255, 34.69669, 
34.68282, 34.6380928323915, 34.67124, 34.785032, 34.795075)))"
Chowan County,37,041,01025822,0500000US37041,37041,06,447179929,157966162,8351,4408,47,343,2955936,627248.77,1802,13708,26256,35.0014590020426,45.75786183250656,"list(list(c(-76.706584, -76.696571, -76.669975, -76.559646, -76.590107, -76.572077, -76.402957, -76.396794, -76.511899, -76.606214, -76.682535, -76.736933, -76.706584, 36.243796, 36.296138, 36.315214, 36.351056, 36.238862, 36.109463, 36.072867, 36.026443, 35.980726, 35.978051, 36.030947, 36.150583, 36.243796)))"
Craven County,37,049,01026123,0500000US37049,37049,06,1830077186,172715012,66703,20204,413,6263,27890016,17220757.77,6054,100720,29521,26.687847498014293,170.97654656473392,"list(list(c(-77.431319, -77.391026, -77.29434, -77.247896, -77.189115, -76.958887, -76.895919, -76.987266, -76.940819, -76.953285, -76.780586, -76.71158, -76.652571, -76.693018, -76.883201, -76.954438, -77.078263, -77.113487, -77.473692, -77.431319, 35.329781, 35.339533, 35.379137, 35.354415, 35.418362, 35.301013, 35.253889, 35.15495, 35.119103, 35.021248, 34.950434, 34.981768, 34.937595, 34.86918, 34.844893, 34.809066, 34.811322, 35.072442, 35.228985, 35.329781)))"
Currituck County,37,053,01026125,0500000US37053,37053,06,678415818,685023988,23878,1392,118,709,2925887,1454550,2218,28100,31849,7.89679715302491,51.763345195729535,"list(list(c(-76.313215, -76.1223499470101, -76.02675, -75.867044, -75.838437, -75.79641, -75.7706514625597, -75.813108, -75.76628, -75.840046, -75.874806, -75.906295, -75.887984, -75.948777, -76.050755, -76.114069, -76.158532, -76.3133029682603, -76.313215, 36.550551, 36.5505523325541, 36.550553, 36.550754, 36.434897, 36.290351, 36.2320803070508, 36.22356, 36.056956, 36.028834, 36.041789, 36.085877, 36.163311, 36.285851, 36.359819, 36.357498, 36.425333, 36.550551089807, 36.550551)))"
Dare County,37,055,01026133,0500000US37055,37055,06,992549370,3000522458,32429,703,181,1441,42873560,16008160,2155,36915,34578,6.298252742787485,433.64919409454154,"list(list(c(-76.008348, -75.973152, -75.840046, -75.76628, -75.813108, -75.7706514625597, -75.71831, -75.658537, -75.569794, -75.51901, -75.496086, -75.458659, -75.486771, -75.533627, -75.635493, -75.7495614239622, -75.814021, -75.901342, -76.027479, -76.008348, 35.895802, 35.976643, 36.028834, 36.056956, 36.22356, 36.2320803070508, 36.113674, 36.02043, 35.863301, 35.769087, 35.728515, 35.596597, 35.391652, 35.225825, 35.22026, 35.1856163621922, 35.500182, 35.668952, 35.668849, 35.895802)))"
Gates County,37,073,01026126,0500000US37073,37073,06,882181716,13292008,6762,3023,71,124,0,139965.89,1660,10478,25846,30.711967932811607,13.358073105554496,"list(list(c(-76.9160376328562, -76.9157318023497, -76.738329, -76.5419658657183, -76.491336, -76.491405, -76.453711, -76.559646, -76.669975, -76.696571, -76.779467, -76.946258, -76.9160376328562, 36.5460813302903, 36.5460897693389, 36.550985, 36.5507845323601, 36.510677, 36.468648, 36.378092, 36.351056, 36.315214, 36.296138, 36.362469, 36.413822, 36.5460813302903)))"
Hertford County,37,091,01026127,0500000US37091,37091,06,914689326,18737419,7622,12393,206,592,0,5423361,2632,21552,20119,61.2054565701559,251.6407293986637,"list(list(c(-77.208468, -77.122959, -77.066463, -77.1643226037182, -76.917318, -76.9160376328562, -76.946258, -76.779467, -76.696571, -76.706584, -77.180277, -77.208468, 36.246578, 36.471218, 36.496511, 36.5461528198479, 36.546046, 36.5460813302903, 36.413822, 36.362469, 36.296138, 36.243796, 36.242766, 36.246578)))"
Hyde County,37,095,01008564,0500000US37095,37095,06,1585935371,2192960963,2956,1169,10,225,33467748,7688765,573,4589,18245,30.59490084985836,1675.4772281542819,"list(list(c(-76.637513, -76.405971, -76.269247, -76.285839, -76.213895, -76.144653, -76.027479, -75.901342, -75.814021, -75.7495614239622, -75.757916, -75.912985, -76.013145, -76.065774, -76.304136, -76.454738, -76.522131, -76.599085, -76.509605, -76.467761, -76.588191, -76.637513, 35.705215, 35.697579, 35.690754, 35.604464, 35.598238, 35.702488, 35.668849, 35.668952, 35.500182, 35.1856163621922, 35.183079, 35.1196, 35.061855, 35.124937, 35.201453, 35.334376, 35.353623, 35.51996, 35.518356, 35.556504, 
35.620654, 35.705215)))"
New Hanover County,37,129,01026329,0500000US37129,37129,06,497802422,353938972,170837,27386,1038,11797,10298577,15196933.62,4136,225702,34288,17.820400350905174,67.33185182231438,"list(list(c(-78.029922, -77.822679, -77.7135131704588, -77.764022, -77.829209, -77.8854550755211, -77.956605, -78.029922, 34.331768, 34.389026, 34.2902471866868, 34.245641, 34.162618, 34.038240984853, 34.234491, 34.331768)))"
Onslow County,37,133,01026341,0500000US37133,37133,06,1973417749,371022642,137072,28026,1460,15750,9183960,3996319,11811,204576,24413,22.112075707805413,19.534642382293132,"list(list(c(-77.653352, -77.674805, -77.502771, -77.366768, -77.267433, -77.165986, -77.096073, -77.1129643930768, -77.136843, -77.240991, -77.322524, -77.462922, -77.5152165445848, -77.576165, -77.680127, -77.653352, 34.940535, 34.9739, 34.969635, 34.90865, 34.925537, 34.785032, 34.67124, 34.6380928323915, 34.632926, 34.587507, 34.535574, 34.471354, 34.4373849694266, 34.476607, 34.720595, 34.940535)))"
Pamlico County,37,137,01023355,0500000US37137,37137,06,871535581,583071738,9216,2061,58,313,41807374,12502608.56,1907,12276,29092,19.811013359400455,1018.4594786575432,"list(list(c(-76.987266, -76.895919, -76.845505, -76.632561, -76.590497, -76.522131, -76.454738, -76.304136, -76.71158, -76.780586, -76.953285, -76.940819, -76.987266, 35.15495, 35.253889, 35.216059, 35.235324, 35.361857, 35.353623, 35.334376, 35.201453, 34.981768, 34.950434, 35.021248, 35.119103, 35.15495)))"
Pasquotank County,37,139,01026330,0500000US37139,37139,06,587616451,161745166,22019,14478,213,1529,1555000,979758,2342,40568,24664,39.982252021297576,24.151005718793137,"list(list(c(-76.491336, -76.437286, -76.231329, -76.216211, -76.12458, -76.02939, -76.022607, -76.058217, -76.157953, -76.177396, -76.290671, -76.37488, -76.453711, -76.491405, -76.491336, 36.510677, 36.467846, 36.37208, 36.298302, 36.263963, 36.158819, 36.096725, 36.080593, 36.059517, 36.109191, 36.223497, 36.258654, 36.378092, 36.468648, 36.510677)))"
Pender County,37,141,01026129,0500000US37141,37141,06,2256645188,162833566,45305,7619,354,3207,43121259,28794349.62,6659,60203,29266,18.570503131073202,478.28762055047093,"list(list(c(-78.256085, -78.176501, -78.255468, -78.254441, -78.113995, -78.114007, -77.980738, -77.680127, -77.576165, -77.5152165445848, -77.635034, -77.7135131704588, -77.822679, -78.029922, -78.137302, -78.16235, -78.202532, -78.256085, 34.399469, 34.465356, 34.508614, 34.553595, 34.706876, 34.721795, 34.713979, 34.720595, 34.476607, 34.4373849694266, 34.359555, 34.2902471866868, 34.389026, 34.331768, 34.371711, 34.357007, 34.353306, 34.399469)))"
Perquimans County,37,143,01025841,0500000US37143,37143,06,640099675,211829497,9412,2715,39,185,0,10000,1451,13005,27569,22.599000384467512,0.7689350249903883,"list(list(c(-76.590107, -76.559646, -76.453711, -76.37488, -76.290671, -76.177396, -76.157953, -76.186705, -76.358393, -76.396794, -76.402957, -76.572077, -76.590107, 36.238862, 36.351056, 36.378092, 36.258654, 36.223497, 36.109191, 36.059517, 36.047725, 36.020019, 36.026443, 36.072867, 36.109463, 36.238862)))"
Tyrrell County,37,177,01026332,0500000US37177,37177,06,1012103919,534574452,1903,938,5,197,525000,525809,680,3245,19743,35.130970724191066,162.0366718027735,"list(list(c(-76.405603, -76.353554, -76.380009, -76.358393, -76.186705, -76.157953, -76.058217, -76.022607, -76.022398, -75.906295, -75.874806, -75.840046, -75.973152, -76.008348, -76.027479, -76.144653, -76.213895, -76.285839, -76.269247, -76.405971, -76.405603, 35.786294, 35.861301, 35.914666, 36.020019, 36.047725, 36.059517, 36.080593, 36.096725, 36.086654, 36.085877, 36.041789, 36.028834, 35.976643, 35.895802, 35.668849, 35.702488, 35.598238, 35.604464, 35.690754, 35.697579, 35.786294)))"
Washington County,37,187,01026331,0500000US37187,37187,06,897456203,195282200,4999,5375,23,269,1151000,219262.07,1456,11003,23431,51.50413523584477,19.927480687085342,"list(list(c(-76.847264, -76.777404, -76.760598, -76.683751, -76.606214, -76.511899, -76.396794, -76.358393, -76.380009, -76.353554, -76.405603, -76.405971, -76.637513, -76.844279, -76.847264, 35.719982, 35.857839, 35.864887, 35.953101, 35.978051, 35.980726, 36.026443, 36.020019, 35.914666, 35.861301, 35.786294, 35.697579, 35.705215, 35.705717, 35.719982)))"
Beaufort County,"37","13","1026333",0500000US37013,"37013","6","2154800548","338964099","29817","10303","168","2534","105874454","31032321.38","7038","44652","27504","29.1252351518409","694.9816666666667","list(list(c(-77.174, -76.985842, -76.847264, -76.844279, -76.637513, -76.588191, -76.467761, -76.509605, -76.599085, -76.522131, -76.590497, -76.632561, -76.845505, -76.895919, -76.958887, -77.189115, -77.176178, -77.100803, -77.08586, -77.172766, -77.195772, -77.174, 35.732831, 35.658848, 35.719982, 35.705717, 35.705215, 35.620654, 35.556504, 35.518356, 35.51996, 35.353623, 35.361857, 35.235324, 35.216059, 35.253889, 35.301013, 35.418362, 35.518812, 35.551455, 35.553317, 35.6391, 35.699779, 35.732831
)))"
Bertie County,"37","15","1026334",0500000US37015,"37015","6","1810858588","109088136","6339","10720","63","276","18660000","10290512.86","3482","17934","22947","61.66499386639902","573.7990888814542","list(list(c(-77.230275, -77.291519, -77.29825, -77.208468, -77.180277, -76.706584, -76.736933, -76.682535, -76.606214, -76.683751, -76.760598, -76.834825, -76.891106, -76.894022, -76.93904, -77.00525, -77.04405, -77.027544, -77.195882, -77.205817, -77.327569, -77.230275, 36.104999, 36.168342, 36.207708, 36.246578, 36.242766, 36.243796, 36.150583, 36.030947, 35.978051, 35.953101, 35.864887, 35.88291, 35.812654, 35.861937, 35.90151, 35.858433, 35.861621, 35.929683, 35.936801, 36.005323, 36.071361, 
36.104999)))"
Brunswick County,"37","19","1026340",0500000US37019,"37019","6","2199384967","518918112","112307","11546","895","4556","7994419","3827615","19667","136693","33312","12.4344333652784","28.00154360501269","list(list(c(-78.640688, -78.557052, -78.545218, -78.515289, -78.422921, -78.374295, -78.254622, -78.16235, -78.137302, -78.029922, -77.956605, -77.8854550755211, -77.915536, -77.9348271350857, -77.960172, -78.006765, -78.018689, -78.136952, -78.276147, -78.383964, -78.541087, -78.615932, -78.6508712805333, -78.640688, 34.009854, 34.061849, 34.145747, 34.165865, 34.139494, 34.204893, 34.216305, 34.357007, 34.371711, 34.331768, 34.234491, 34.038240984853, 33.971723, 33.9205485057973, 33.853315, 33.858704, 
33.888289, 33.912178, 33.912364, 33.901946, 33.851112, 33.915523, 33.9450557205328, 34.009854)))"
Camden County,"37","29","1026335",0500000US37029,"37029","6","622448682","181112905","8312","1055","49","243","1730000","1240053","647","10355","28221","13.0082085948817","119.7540318686625","list(list(c(-76.4914825754723, -76.3133029682603, -76.158532, -76.114069, -76.050755, -75.948777, -75.887984, -75.906295, -76.022398, -76.022607, -76.02939, -76.12458, -76.216211, -76.231329, -76.437286, -76.491336, -76.5419658657183, -76.4914825754723, 36.5507329938364, 36.550551089807, 36.425333, 36.357498, 36.359819, 36.285851, 36.163311, 36.085877, 36.086654, 36.096725, 36.158819, 36.263963, 36.298302, 36.37208, 36.467846, 36.510677, 36.5507845323601, 36.5507329938364)))"
Carteret County,"37","31","1026337",0500000US37031,"37031","6","1314696235","2131054352","58255","3274","312","2074","18399258","5530135","8947","67686","33722","8.362142836036995","81.70278935082587","list(list(c(-77.161676, -77.078263, -76.954438, -76.883201, -76.693018, -76.652571, -76.71158, -76.304136, -76.065774, -76.013145, -76.137269, -76.233088, -76.31021, -76.386804, -76.450454, -76.535946, -76.553806, -76.618719, -76.726969, -76.906257, -77.1129643930768, -77.096073, -77.165986, -77.161676, 34.795075, 34.811322, 34.809066, 34.844893, 34.86918, 34.937595, 34.981768, 35.201453, 35.124937, 35.061855, 34.987858, 34.905477, 34.852309, 34.784579, 34.71445, 34.588577, 34.628252, 34.67255, 34.69669, 
34.68282, 34.6380928323915, 34.67124, 34.785032, 34.795075)))"
Chowan County,"37","41","1025822",0500000US37041,"37041","6","447179929","157966162","8351","4408","47","343","2955936","627248.77","1802","13708","26256","35.0014590020426","45.75786183250656","list(list(c(-76.706584, -76.696571, -76.669975, -76.559646, -76.590107, -76.572077, -76.402957, -76.396794, -76.511899, -76.606214, -76.682535, -76.736933, -76.706584, 36.243796, 36.296138, 36.315214, 36.351056, 36.238862, 36.109463, 36.072867, 36.026443, 35.980726, 35.978051, 36.030947, 36.150583, 36.243796)))"
